event_id,subscriber_id,event_type,channel,days_ago,severity,detail
E2001,S1001,complaint,CALL_CENTER,3,HIGH,国际漫游资费争议连续投诉
E2002,S1001,competitor_visit,OFFLINE_STORE,2,HIGH,到店咨询竞对转网补贴
E2003,S1001,porting_code_request,APP,1,HIGH,APP内查询携转授权码
E2004,S1002,complaint,APP,4,MEDIUM,套餐流量达量降速投诉
E2005,S1002,retention_offer_rejected,CALL_OUT,1,MEDIUM,拒绝续约优惠包
E2006,S1004,competitor_visit,OFFLINE_STORE,2,HIGH,到店咨询异网合约补贴
E2007,S1004,porting_code_request,SMS,1,HIGH,申请携转授权码
E2008,S1004,complaint,CALL_CENTER,6,HIGH,网络质量连续投诉
E2009,S1007,porting_code_request,APP,2,HIGH,查询携转流程
E2010,S1007,complaint,CALL_CENTER,5,MEDIUM,投诉5G覆盖不足
E2011,S1005,policy_search,APP,3,LOW,搜索携号转网政策说明
E2012,S1003,care_touch,APP,2,LOW,领取生日权益
E2013,S1009,complaint,CALL_CENTER,1,HIGH,多次投诉费用异常
E2014,S1009,competitor_visit,OFFLINE_STORE,2,HIGH,到店咨询携号转网补贴
E2015,S1009,porting_code_request,APP,1,HIGH,申请携转授权码
E2016,S1009,retention_offer_rejected,CALL_OUT,3,HIGH,直接挂断挽留电话
E2017,S1009,complaint,CALL_CENTER,4,HIGH,投诉客服态度
E2018,S1016,competitor_visit,OFFLINE_STORE,1,HIGH,对比多家运营商优惠
E2019,S1016,porting_code_request,SMS,2,HIGH,短信申请携转码
E2020,S1016,complaint,CALL_CENTER,5,HIGH,投诉网络信号差
E2021,S1016,retention_offer_rejected,CALL_OUT,3,HIGH,拒绝所有挽留方案
E2022,S1002,care_touch,APP,8,LOW,收到优惠活动通知
E2023,S1004,retention_offer_rejected,CALL_OUT,4,HIGH,拒绝免费流量包
E2024,S1006,policy_search,APP,10,LOW,查询5G覆盖区域
E2025,S1008,care_touch,CALL_CENTER,15,LOW,满意度回访
E2026,S1010,care_touch,APP,12,LOW,收到流量优惠提醒
E2027,S1011,complaint,APP,6,MEDIUM,投诉流量套餐费用
E2028,S1013,care_touch,SMS,20,LOW,生日祝福短信
E2029,S1015,policy_search,APP,7,LOW,查询账单明细
E2030,S1017,care_touch,CALL_CENTER,18,LOW,老客户关怀电话
E2031,S1018,care_touch,APP,5,LOW,流量到账通知
E2032,S1019,policy_search,APP,14,LOW,查询合约到期时间
E2033,S1020,care_touch,APP,22,LOW,VIP专享活动通知
E2034,S1021,care_touch,SMS,25,LOW,节日问候短信
E2035,S1023,complaint,CALL_CENTER,2,HIGH,多次投诉信号问题
E2036,S1023,competitor_visit,OFFLINE_STORE,4,HIGH,到店咨询其他运营商
E2037,S1023,porting_code_request,APP,3,HIGH,查询携转条件
E2038,S1023,retention_offer_rejected,CALL_OUT,5,HIGH,拒绝优惠续约
E2039,S1025,care_touch,APP,9,LOW,流量充值优惠
E2040,S1026,policy_search,APP,11,LOW,查询携号转网流程
E2041,S1027,care_touch,CALL_CENTER,16,LOW,满意度调查
E2042,S1028,complaint,APP,7,MEDIUM,投诉费用明细
E2043,S1029,care_touch,APP,13,LOW,学生优惠活动
E2044,S1030,competitor_visit,OFFLINE_STORE,1,HIGH,到店询问携转补贴
E2045,S1030,porting_code_request,APP,2,HIGH,申请携转授权码
E2046,S1030,complaint,CALL_CENTER,4,HIGH,投诉客服处理速度
E2047,S1030,retention_offer_rejected,CALL_OUT,6,HIGH,拒绝挽留优惠
E2048,S1032,care_touch,SMS,19,LOW,充值优惠提醒
E2049,S1033,policy_search,APP,8,LOW,查询5G套餐详情
E2050,S1035,care_touch,APP,14,LOW,流量包推荐
E2051,S1037,complaint,CALL_CENTER,3,HIGH,投诉网络经常断网
E2052,S1037,competitor_visit,OFFLINE_STORE,5,HIGH,对比竞争对手套餐
E2053,S1037,porting_code_request,APP,6,HIGH,查询携转授权码
E2054,S1039,care_touch,CALL_CENTER,10,LOW,老客户回访
E2055,S1040,care_touch,APP,21,LOW,积分兑换活动
E2056,S1003,care_touch,APP,6,LOW,套餐升级推荐
E2057,S1005,care_touch,SMS,12,LOW,流量加油包推荐
E2058,S1006,policy_search,APP,8,LOW,查询国际漫游资费
E2059,S1007,care_touch,CALL_CENTER,14,LOW,服务质量回访
E2060,S1008,complaint,APP,5,MEDIUM,投诉增值业务收费
E2061,S1010,care_touch,APP,18,LOW,续约优惠通知
E2062,S1012,care_touch,APP,16,LOW,高价值客户专属活动
E2063,S1014,care_touch,APP,10,LOW,学生套餐续费提醒
E2064,S1015,care_touch,CALL_CENTER,20,LOW,客户关怀电话
E2065,S1017,care_touch,APP,8,LOW,5G新功能体验邀请
E2066,S1022,care_touch,APP,12,LOW,校园专属优惠
E2067,S1024,care_touch,SMS,15,LOW,白金客户专属服务
E2068,S1031,care_touch,APP,9,LOW,流量提速包推荐
E2069,S1034,care_touch,APP,14,LOW,尊享客户生日礼
E2070,S1036,care_touch,APP,11,LOW,年轻用户专属活动
E2071,S1038,care_touch,APP,17,LOW,老客户续约优惠
E2072,S1040,care_touch,CALL_CENTER,22,LOW,客户满意度调查
